2025-09-01 09:18:57 | INFO     | NeoOTP       | setup_logger         | ============================================================
2025-09-01 09:18:57 | INFO     | NeoOTP       | setup_logger         | Logging initialized - Log file: C:\Users\antoine.guinard\Documents\APP_QT\logs\NeoOTP_20250901.log
2025-09-01 09:18:57 | INFO     | NeoOTP       | setup_logger         | ============================================================
2025-09-01 09:18:57 | INFO     | NeoOTP       | main                 | Starting NeoOTP application
2025-09-01 09:18:57 | INFO     | NeoOTP.Backend | __init__             | FidoOTPBackend initialized
2025-09-01 09:18:58 | DEBUG    | NeoOTP.Backend | _execute_command     | Executing command: list_generators
2025-09-01 09:18:58 | DEBUG    | NeoOTP.Backend | _execute_command     | Calling _connect()
2025-09-01 09:18:58 | INFO     | NeoOTP.Backend | _connect             | Searching for FIDO2 device with OTP support...
2025-09-01 09:18:58 | DEBUG    | NeoOTP.Backend | _cleanup_connection  | [DEBUG] _cleanup_connection appelé
2025-09-01 09:18:58 | DEBUG    | NeoOTP.Backend | _connect             | 0 HID devices found
2025-09-01 09:18:58 | DEBUG    | NeoOTP.Backend | _connect             | [DEBUG] 0 devices PCSC trouvés
2025-09-01 09:18:58 | DEBUG    | NeoOTP.Backend | _connect             | [DEBUG] Aucun device OTP trouvé
2025-09-01 09:18:58 | DEBUG    | NeoOTP.Backend | _cleanup_connection  | [DEBUG] _cleanup_connection appelé
2025-09-01 09:18:58 | WARNING  | NeoOTP.Backend | _execute_command     | Command list_generators Exception / RuntimeError
2025-09-01 09:18:58 | DEBUG    | NeoOTP.Backend | _cleanup_connection  | [DEBUG] _cleanup_connection appelé
2025-09-01 09:19:04 | DEBUG    | NeoOTP.Backend | _execute_command     | Executing command: ping
2025-09-01 09:19:04 | DEBUG    | NeoOTP.Backend | _execute_command     | Calling _connect()
2025-09-01 09:19:04 | INFO     | NeoOTP.Backend | _connect             | Searching for FIDO2 device with OTP support...
2025-09-01 09:19:04 | DEBUG    | NeoOTP.Backend | _cleanup_connection  | [DEBUG] _cleanup_connection appelé
2025-09-01 09:19:04 | DEBUG    | NeoOTP.Backend | _connect             | 0 HID devices found
2025-09-01 09:19:04 | DEBUG    | NeoOTP.Backend | _connect             | [DEBUG] 0 devices PCSC trouvés
2025-09-01 09:19:04 | DEBUG    | NeoOTP.Backend | _connect             | [DEBUG] Aucun device OTP trouvé
2025-09-01 09:19:04 | DEBUG    | NeoOTP.Backend | _cleanup_connection  | [DEBUG] _cleanup_connection appelé
2025-09-01 09:19:04 | WARNING  | NeoOTP.Backend | _execute_command     | Command ping Exception / RuntimeError
2025-09-01 09:19:04 | DEBUG    | NeoOTP.Backend | _cleanup_connection  | [DEBUG] _cleanup_connection appelé
2025-09-01 09:19:10 | DEBUG    | NeoOTP.Backend | _execute_command     | Executing command: ping
2025-09-01 09:19:10 | DEBUG    | NeoOTP.Backend | _execute_command     | Calling _connect()
2025-09-01 09:19:10 | INFO     | NeoOTP.Backend | _connect             | Searching for FIDO2 device with OTP support...
2025-09-01 09:19:10 | DEBUG    | NeoOTP.Backend | _cleanup_connection  | [DEBUG] _cleanup_connection appelé
